pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
44,58,84,95,33,28,48,滨江,07:00:00,2013-07-08,杭州,69
117,98,167,163,79,86,188,华润制药,07:00:00,2013-07-08,菏泽,150
117,105,194,170,93,139,188,电机北厂,07:00:00,2013-07-08,衡水,163
75,44,91,55,14,31,104,师大,07:00:00,2013-07-08,福州,48
53,51,80,89,30,26,59,浙江农大,07:00:00,2013-07-08,杭州,56
106,109,160,161,75,73,166,菏泽学院,07:00:00,2013-07-08,菏泽,172
91,92,182,168,88,116,136,市环保局,07:00:00,2013-07-08,衡水,137
61,53,82,61,17,27,76,快安,07:00:00,2013-07-08,福州,60
59,51,78,89,30,25,71,城厢镇,07:00:00,2013-07-08,杭州,56
75,75,155,157,68,64,103,牡丹高新区,07:00:00,2013-07-08,菏泽,103
27,45,63,55,14,18,29,紫阳,07:00:00,2013-07-08,福州,49
51,47,76,78,25,24,55,和睦小学,07:00:00,2013-07-08,杭州,51
82,81,152,153,60,58,118,气象局,07:00:00,2013-07-08,菏泽,115
51,41,63,50,12,18,55,杨桥西路,07:00:00,2013-07-08,福州,44
59,56,74,89,30,23,72,临平镇,07:00:00,2013-07-08,杭州,66
41,39,57,53,13,15,44,五四北路,07:00:00,2013-07-08,福州,42
25,29,63,68,20,18,27,千岛湖,07:00:00,2013-07-08,杭州,31
32,31,63,70,21,18,35,卧龙桥,07:00:00,2013-07-08,杭州,33
123,105,169,161,75,91,200,胜利医院,07:00:00,2013-07-08,东营,163
51,39,63,68,20,18,56,云栖,07:00:00,2013-07-08,杭州,42
128,102,168,157,67,88,210,职业学院,07:00:00,2013-07-08,东营,158
39,50,102,76,24,36,42,甘井子,07:00:00,2013-07-08,大连,54
245,109,199,185,122,148,386,监测站,07:00:00,2013-07-08,德州,171
87,91,162,170,92,77,127,河口区,07:00:00,2013-07-08,东营,135
28,20,59,61,17,16,30,开发区,07:00:00,2013-07-08,大连,22
133,102,239,197,145,189,220,双一集团,07:00:00,2013-07-08,德州,158
99,86,161,156,65,74,152,市环保局,07:00:00,2013-07-08,东营,126
32,36,59,55,14,16,35,青泥洼桥,07:00:00,2013-07-08,大连,39
112,85,196,179,110,143,178,监理站,07:00:00,2013-07-08,德州,124
97,86,156,154,61,65,147,开发区,07:00:00,2013-07-08,东营,126
26,28,50,57,15,12,28,星海三站,07:00:00,2013-07-08,大连,30
133,86,193,176,103,136,219,黑马集团,07:00:00,2013-07-08,德州,125
108,102,155,162,76,63,170,市环保公司,07:00:00,2013-07-08,东营,157
12,19,38,59,16,9,13,旅顺,07:00:00,2013-07-08,大连,21
160,94,184,169,91,119,273,华宇技校,07:00:00,2013-07-08,德州,141
114,102,149,152,57,55,182,现河采油厂,07:00:00,2013-07-08,东营,158
10,19,33,55,14,8,11,金州,07:00:00,2013-07-08,大连,20
100,78,178,169,90,107,154,儿童乐园,07:00:00,2013-07-08,德州,109
6,19,25,55,14,6,6,双D港,07:00:00,2013-07-08,大连,20
172,106,261,173,98,211,297,南定,07:00:00,2013-07-08,淄博,166
4,51,251,187,125,201,4,齐鲁石化,07:00:00,2013-07-08,淄博,56
123,73,234,167,86,184,199,人民公园,07:00:00,2013-07-08,淄博,99
36,64,93,117,42,32,39,人民公园,07:00:00,2013-07-08,张家口,82
50,46,68,50,12,20,54,七星岩子站,07:00:00,2013-07-08,肇庆,50
